cra,crawford,
eri,erie,
war,warren,
ven,venango,
mer,mercer,
law,lawrence,
bri,brie,
mck,mckean,
pot,potter,
tio,tioga,
bra,bradford,
bea,beaver
sus,susquehanna,
for,forest,
elk,elk,
cam,cameron,
cli,clinton,
lyo,lycoming,
sul,sullivan,
wyo,wyoming,
luz,luzerne,
lac,lackawanna,
way,wayne,
cla,clarion,
jef,jefferson,
cle,clearfield,
cen,centre,
uni,union,
nor,north-umberland,
mon,montour,
col,columbia,
pik,pike,
but,butler,
arm,armstrong,
ind,indiana,
kam,cambria,
bla,blair,
hun,huntingdon,
mil,miffin,
sny,snyder,
sch,schuylkill,
car,carbon,
roe,monroe,
all,allegheny,
wes,westmoreland,
jun,juniata,
per,perry,
dau,dauphin,
leb,lebanon,
ber,berks,
leh,lehigh,
tha,northampton,
was,washington,
gre,greene,
fay,fayette,
som,somerset,
bed,bedford,
ful,fulton,
fra,franklin,
cum,cumberland,
yor,york,
lan,lancaster,
che,chester,
tgo,montgomery,
buc,bucks,
del,delaware,
phi,philadelphia,
ada,adams,
